address,categories,city,country,latitude,longitude,menus.amountMax,menus.amountMin
148 S Barrington Ave,American Restaurant,Los Angeles,US,34.06456347,-118.4690173,12,12
148 S Barrington Ave,American Restaurant,Los Angeles,US,34.06456347,-118.4690173,13,13
148 S Barrington Ave,American Restaurant,Los Angeles,US,34.06456347,-118.4690173,13,13
148 S Barrington Ave,American Restaurant,Los Angeles,US,34.06456347,-118.4690173,15,15
148 S Barrington Ave,American Restaurant,Los Angeles,US,34.06456347,-118.4690173,15,15
801 Saint Emanuel St,Bar,Houston,US,29.75247947,-95.35416442,9.95,9.95
200 E Chestnut St,Italian Restaurant,Chicago,US,41.89854289,-87.6219955,10.99,10.99
200 E Chestnut St,Italian Restaurant,Chicago,US,41.89854289,-87.6219955,10.99,10.99
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,8.99,8.99
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,8.99,8.99
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,8.99,8.99
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,8.99,8.99
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,8.99,8.99
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,4.59,4.59
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,8.99,8.99
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,8.99,8.99
26900 Newport Rd,Italian Restaurant,Menifee,US,33.68678191,-117.1903038,8.99,8.99
2111 Stewart Ave,Sandwich Place,Wausau,US,44.95747331,-89.66768203,4.99,4.99
1707 Delaware Ave,Asian Restaurant,Wilmington,US,39.7583638,-75.5626631,12,12
1707 Delaware Ave,Asian Restaurant,Wilmington,US,39.7583638,-75.5626631,12,12
1431 Plaza Pl,Restaurant,Southlake,US,32.945053,-97.12952,8.95,8.95
3505 A Longmire Dr,Restaurant,College Station,US,30.582817,-96.28639,13.99,13.99
3505 A Longmire Dr,Restaurant,College Station,US,30.582817,-96.28639,3.99,3.99
22 Englar Rd,Italian Restaurant,Westminster,US,39.58133698,-76.98956,15.95,9
50a,Pub,Hermosa Beach,US,33.862,-118.400769,9.75,9.75
50a,Pub,Hermosa Beach,US,33.862,-118.400769,11.5,11.5
50a,Pub,Hermosa Beach,US,33.862,-118.400769,3,3
44 N Brentwood,Restaurant,Saint Louis,US,38.649703,-90.341542,5,5
2901 Watson Blvd,Italian Restaurant,Endicott,US,42.11067,-76.02803,9.5,9.5
100 Charlton Rd,American Restaurant,Sturbridge,US,42.12484282,-72.05860695,5.99,5.99
100 Charlton Rd,American Restaurant,Sturbridge,US,42.12484282,-72.05860695,2.99,2.99
100 Charlton Rd,American Restaurant,Sturbridge,US,42.12484282,-72.05860695,2.99,2.99
100 Charlton Rd,American Restaurant,Sturbridge,US,42.12484282,-72.05860695,8.99,8.99
100 Charlton Rd,American Restaurant,Sturbridge,US,42.12484282,-72.05860695,2.99,2.99
401 E Whitestone Blvd,Pizza Place,Cedar Park,US,30.52266137,-97.82690265,5.99,5.99
401 E Whitestone Blvd,Pizza Place,Cedar Park,US,30.52266137,-97.82690265,3.99,3.99
2631 Mcingvale Rd,Food and Beverage,Hernando,US,34.822393,-89.973027,7,7
2631 Mcingvale Rd,Food and Beverage,Hernando,US,34.822393,-89.973027,4.75,4.75
2631 Mcingvale Rd,Food and Beverage,Hernando,US,34.822393,-89.973027,4.75,4.75
14004 E Indiana Ave,Pizza Place,Spokane,US,47.675464,-117.225497,10.75,10.75
555 Soquel Ave,Caterers,Santa Cruz,US,36.97572,-122.01743,5.99,5.99
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.99,8.99
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.59,8.59
378 Broad St,American Restaurants,Bloomfield,US,40.806263,-74.192924,17,17
378 Broad St,American Restaurants,Bloomfield,US,40.806263,-74.192924,17,17
378 Broad St,American Restaurants,Bloomfield,US,40.806263,-74.192924,5,5
378 Broad St,American Restaurants,Bloomfield,US,40.806263,-74.192924,15,15
28985 Golden Lantern,Restaurant,Laguna Niguel,US,33.54206,-117.69095,2.95,2.95
6007 Us 60 E,Italian Restaurant,Barboursville,US,38.413007,-82.307758,6.99,6.99
6007 Us 60 E,Italian Restaurant,Barboursville,US,38.413007,-82.307758,5.99,5.99
1602 E Forsyth St,Restaurant,Americus,US,32.071243,-84.208984,3.75,3.75
14805 W 64th Ave,Sales Promotions & Counseling Services,Arvada,US,39.812653,-105.166004,12,12
1 Corporate Dr,Deli / Bodega,Shelton,US,41.27626,-73.12953,5.25,5.25
932 S 10th St,Italian Restaurant,Philadelphia,US,39.938407,-75.159763,8.95,8.95
932 S 10th St,Italian Restaurant,Philadelphia,US,39.938407,-75.159763,3.5,3.5
932 S 10th St,Italian Restaurant,Philadelphia,US,39.938407,-75.159763,7.25,7.25
10300 Forest Hill Blvd,Pizza Place,Wellington,US,26.64711379,-80.20931934,116.99,116.99
10300 Forest Hill Blvd,Pizza Place,Wellington,US,26.64711379,-80.20931934,14.29,14.29
14 E 10th St,Sports Bar,Erie,US,42.12574064,-80.08198836,4.99,4.99
1665 Stelton Rd,American Restaurant and Asian Restaurant,Piscataway,US,40.5337146,-74.41911221,7.99,7.99
1665 Stelton Rd,American Restaurant and Asian Restaurant,Piscataway,US,40.5337146,-74.41911221,6.99,6.99
1665 Stelton Rd,American Restaurant and Asian Restaurant,Piscataway,US,40.5337146,-74.41911221,7.99,7.99
1665 Stelton Rd,American Restaurant and Asian Restaurant,Piscataway,US,40.5337146,-74.41911221,4.49,4.49
1665 Stelton Rd,American Restaurant and Asian Restaurant,Piscataway,US,40.5337146,-74.41911221,4.99,4.99
1665 Stelton Rd,American Restaurant and Asian Restaurant,Piscataway,US,40.5337146,-74.41911221,7.99,7.99
1933 5th Ave,American Restaurant,Seattle,US,47.613,-122.3383,16,16
1933 5th Ave,American Restaurant,Seattle,US,47.613,-122.3383,16,16
1933 5th Ave,American Restaurant,Seattle,US,47.613,-122.3383,15,15
1933 5th Ave,American Restaurant,Seattle,US,47.613,-122.3383,15,15
